art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Bill Condon	both	male	male	1	1	3	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Dan Stevens	both	male	male	1	1	0	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Abdul Halim Abdul Hamid	both	male	male	2	2	69	80	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Emma Watson	both	female	female	1	1	0	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Gaston	auto_only							
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Craig Shakespeare	both	male	male	2	2	0	4	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Samir Nasri	both	male	None	1	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Wes Morgan	both	male	male	1	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Marc Albrighton	both	male	male	2	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Claudio Ranieri	both	male	male	4	4	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Jamie Vardy	both	male	female	2	2	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Chelsea	auto_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Nemat Shafik	both	female	female	2	2	0	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Quintin Hogg	both	male	male	1	1	0	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Mark J. Carney	both	male	male	5	5	0	1	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Douglas Hogg	manual_only	male						
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Mann	both	male	male	1	1	2	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Major	both	male	male	1	1	0	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Charlotte Hogg	both	female	female	10	10	0	2	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Sarah Hogg	both	female	female	1	1	0	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Santander	auto_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Douglas	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Stefan Grant	both	male	male	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Douglas Quinby	both	male	male	1	1	27	33	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Parker Stanberry	both	male	male	1	1	15	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Matthieu Jost	both	male	male	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Jeff Manheimer	both	male	male	1	1	19	10	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Evan Frank	both	male	male	2	2	76	87	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Ronnia Cherry	both	female	None	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	HomeAway	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Airbnb	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	GuesttoGuest	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Martha	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Humaira Iqbal	both	female	None	2	2	65	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Farhat Hashmi	both	female	female	3	3	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Huma Najmul Hassan	both	female	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Kulsoom Umar	both	female	None	1	1	18	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Sara Asif	both	female	female	3	3	23	12	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Muhammad	both	male	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Faisa Mushtaq	manual_only	female						
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Safiya Khan	both	female	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Tashfeen Malik	both	female	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Mahjabeen Umar	both	female	None	1	1	9	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Little Ummati	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Faiza Mushtaq	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Al-Huda	auto_only							
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Ben	both	male	male	1	1	0	16	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Matthew Flynn	both	male	male	2	2	25	29	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Luke	both	male	male	1	1	0	0	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	David M. Crandell	both	male	male	3	3	47	52	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Dan Lasko	both	male	male	10	10	44	49	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Eric Feinstein	both	male	male	2	2	0	0	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Todd Goldstein	both	male	male	4	4	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Maria Sharapova	both	female	female	17	20	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Angelique Kerber	both	female	female	4	3	36	42	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Bernard Giudicelli	both	male	male	2	3	49	57	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Guy Forget	both	male	male	1	1	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Steve Simon	both	male	male	2	2	77	99	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Karolina Pliskova	both	female	None	1	1	78	58	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Jo-Wilfried Tsonga	both	male	male	2	2	20	24	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Svetlana Kuznetsova	both	female	female	2	2	67	84	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Andy Murray	both	male	male	3	3	118	142	
